id,area,priority,requirement,acceptance_criteria,required_evidence,status,baseline_status,gate_result,owner_role,dependencies,spec_refs,increment,critical_path,test_ids,artifact_paths,commit,last_verified_at,notes
PC-049,داده بازار,P0,Provider interface مستقل باشد,هیچ UI Component مستقیماً Schema Provider را مصرف نکند,Architecture test,NOT_STARTED,BASELINING,NOT_ASSESSED,Data Platform Architect,G0;security/API contracts,§13.1–13.2; §26,I2-DATA,critical,,,,,
PC-050,داده بازار,P0,Symbol master نسخه‌دار باشد,Instrument metadata کامل و تغییرات قابل مهاجرت باشد,Schema + contract,NOT_STARTED,BASELINING,NOT_ASSESSED,Data Platform Architect,G0;security/API contracts,§13.1–13.2; §26,I2-DATA,critical,,,,,
PC-051,داده بازار,P0,OHLCV normalized و deterministic باشد,UTC، ترتیب، duplicate، gap و correction طبق قرارداد,Property/contract tests,NOT_STARTED,BASELINED,PARTIAL,Market Data Lead,PC-049;PC-050,§13.3; §13.6,I2-DATA,critical,QA-JS-001,artifacts/qa/javascript/080033ae56e3c793ba3a998276cac5daeb969d50/20260714T233200Z,080033ae56e3c793ba3a998276cac5daeb969d50,2026-07-14T23:35:00Z,Resample الزامات OHLCV و هم‌ترازی محدود را پاس کرد؛ duplicate/gap/correction کامل مانده است
PC-052,داده بازار,P0,WebSocket reconnect امن باشد,Heartbeat، backoff، resume/reconcile و dedupe پاس شود,Fault-injection test,NOT_STARTED,BASELINING,NOT_ASSESSED,Streaming Lead,PC-049;PC-051;observability foundation,§13.4; §30.1,I2-DATA,critical,,,,,
PC-053,داده بازار,P0,وضعیت freshness در UI دیده شود,live/delayed/reconnecting/offline درست و بدون Quote کهنه پنهان,E2E states,NOT_STARTED,BASELINING,NOT_ASSESSED,Streaming Lead,PC-049;PC-051;observability foundation,§13.4; §30.1,I2-DATA,critical,,,,,
PC-054,داده بازار,P0,Cache entitlement را رعایت کند,داده خارج مجوز cache یا export نشود,Security/contract tests,NOT_STARTED,BASELINING,NOT_ASSESSED,Data/Security Lead,PC-049–052;PC-131,§13.5; §27.1,I2-DATA,P0/P1,,,,,
PC-055,داده بازار,P1,Cache چندلایه و سالم باشد,Checksum، TTL، LRU و recovery در corruption پاس شود,Integration tests,NOT_STARTED,BASELINING,NOT_ASSESSED,Data/Security Lead,PC-049–052;PC-131,§13.5; §27.1,I2-DATA,P0/P1,,,,,
PC-056,داده بازار,P0,Timezone/Session/DST صحیح باشد,مرز Session و DST روی Datasetهای مرجع بدون جابه‌جایی,Golden suite,NOT_STARTED,BASELINING,NOT_ASSESSED,Market Data Lead,PC-049;PC-050,§13.3; §13.6,I2-DATA,critical,,,,,
PC-057,داده بازار,P1,Data quality dashboard موجود باشد,latency/gap/duplicate/correction/provider health قابل مشاهده,Dashboard evidence,NOT_STARTED,BASELINING,NOT_ASSESSED,Data Quality Lead,PC-049–056;PC-134;telemetry,§13.6; §30.1,I2.5,P1,,,,,
PC-058,داده بازار,P1,Lineage هر Bar ثبت شود,Provider، sequence و quality flag قابل ردیابی باشد,Trace audit,NOT_STARTED,BASELINING,NOT_ASSESSED,Data Quality Lead,PC-049–056;PC-134;telemetry,§13.6; §30.1,I2.5,P1,,,,,
PC-059,ابزار ترسیم,P0,خانواده ابزارهای اولویت‌دار کامل باشند,Trend/Fib/Geometry/Annotation P0 با create/edit/delete/save پاس شوند,E2E + visual,NOT_STARTED,BASELINING,NOT_ASSESSED,Drawing Engine Lead,Chart core;PC-030;PC-044,§12.5; §16.1–16.3,I3,critical-P0,,,,,
PC-060,ابزار ترسیم,P1,مجموعه کامل بیش از ۱۱۰ ابزار برنامه‌ریزی/پیاده شود,هر ابزار Requirement و test vectors مستقل داشته باشد,Matrix + coverage,NOT_STARTED,BASELINING,NOT_ASSESSED,Drawing Product Lead,PC-059;PC-061–062;PC-064–065;catalog approved,§5.1; §16.1,I3+,P1,,,,,
PC-061,ابزار ترسیم,P0,Snap و Magnet درست باشد,OHLC/indicator snap در tolerance و toggleها کار کنند,Geometry tests,NOT_STARTED,BASELINING,NOT_ASSESSED,Drawing Engine Lead,Chart core;PC-030;PC-044,§12.5; §16.1–16.3,I3,critical-P0,,,,,
PC-062,ابزار ترسیم,P0,Lock/Hide/Group/Order کار کند,State از Canvas و Object Tree دوطرفه و persist شود,E2E,NOT_STARTED,BASELINING,NOT_ASSESSED,Drawing Engine Lead,Chart core;PC-030;PC-044,§12.5; §16.1–16.3,I3,critical-P0,,,,,
PC-063,ابزار ترسیم,P0,Drawing alert قابل ساخت باشد,عبور/ورود/خروج با Clock سروری و dedupe درست,Integration tests,NOT_STARTED,BASELINING,NOT_ASSESSED,Drawing/Alert Lead,PC-059;PC-061–062;PC-081–082,§16.2; §19,I4,P0,,,,,
PC-064,ابزار ترسیم,P1,Style template و visibility interval باشد,Template round-trip و نمایش بر تایم‌فریم طبق rule,E2E + serialization,NOT_STARTED,BASELINING,NOT_ASSESSED,Drawing Engine Lead,PC-044;PC-059;PC-061–062,§16.2–16.3,I3,P1,,,,,
PC-065,ابزار ترسیم,P1,Anchor drift صفر عملی باشد,پس از Save/Load/Zoom جابه‌جایی کمتر از tolerance,Geometry golden,NOT_STARTED,BASELINING,NOT_ASSESSED,Drawing Engine Lead,PC-044;PC-059;PC-061–062,§16.2–16.3,I3,P1,,,,,
PC-066,اندیکاتورها,P0,کتابخانه P0 کامل باشد,تمام اندیکاتورهای فهرست‌شده با input/style/alert ارائه شوند,Catalog + tests,NOT_STARTED,BASELINING,NOT_ASSESSED,Quant/Indicator Lead,DATA-CORE;Chart core;catalog approved,§17.1–17.4,I3,critical-P0,,,,,
PC-067,اندیکاتورها,P0,محاسبات Golden داشته باشند,هر اندیکاتور روی داده مرجع و edge cases پاس شود,Golden vectors,NOT_STARTED,BASELINED,PARTIAL,Quant/Indicator Lead,DATA-CORE;Chart core;catalog approved,§17.1–17.4,I3,critical-P0,QA-JS-001,artifacts/qa/javascript/080033ae56e3c793ba3a998276cac5daeb969d50/20260714T233200Z,080033ae56e3c793ba3a998276cac5daeb969d50,2026-07-14T23:35:00Z,Indicator/technical-rating/volume-profile vectors موجود پاس؛ کاتالوگ کامل و برابری سه Bundle با Source مانده است
PC-068,اندیکاتورها,P0,عدم Look-ahead تضمین شود,Historical result با اضافه‌شدن داده آینده تغییر غیرمجاز نکند,Property tests,NOT_STARTED,BASELINING,NOT_ASSESSED,Quant/Indicator Lead,DATA-CORE;Chart core;catalog approved,§17.1–17.4,I3,critical-P0,,,,,
PC-069,اندیکاتورها,P0,Streaming correction درست باشد,Bar جاری/اصلاح‌شده خروجی قابل بازتولید دهد,Stream tests,NOT_STARTED,BASELINING,NOT_ASSESSED,Quant/Indicator Lead,DATA-CORE;Chart core;catalog approved,§17.1–17.4,I3,critical-P0,,,,,
PC-070,اندیکاتورها,P1,Multi-timeframe semantics روشن باشد,Merge/gap/lookahead rule مستند و تست‌شده,Contract tests,NOT_STARTED,BASELINED,PARTIAL,Quant/Indicator Lead,PC-066–071;PC-143,§17.2–17.4; §28.2,I3,P1,QA-JS-001,artifacts/qa/javascript/080033ae56e3c793ba3a998276cac5daeb969d50/20260714T233200Z,080033ae56e3c793ba3a998276cac5daeb969d50,2026-07-14T23:35:00Z,Resample محدود H2/M30/W1 پاس؛ merge/gap/lookahead contract کامل مانده است
PC-071,اندیکاتورها,P0,Indicator manager فارسی کامل باشد,Search/category/favorite/recent/settings/remove/move کار کند,E2E + visual,NOT_STARTED,BASELINING,NOT_ASSESSED,Quant/Indicator Lead,DATA-CORE;Chart core;catalog approved,§17.1–17.4,I3,critical-P0,,,,,
PC-072,اندیکاتورها,P1,Template و Instance ID پایدار باشد,چند Instance و Save/Load بدون collision,Serialization tests,NOT_STARTED,BASELINING,NOT_ASSESSED,Quant/Indicator Lead,PC-066–071;PC-143,§17.2–17.4; §28.2,I3,P1,,,,,
PC-073,اندیکاتورها,P1,هشدار Performance Script داده شود,کار سنگین شناسایی و بدون Freeze توضیح داده شود,Benchmark + UX test,NOT_STARTED,BASELINING,NOT_ASSESSED,Quant/Indicator Lead,PC-066–071;PC-143,§17.2–17.4; §28.2,I3,P1,,,,,
PC-074,Workspace,P0,Auto-save قابل اعتماد باشد,debounce، status، retry و conflict بدون از دست‌رفتن داده,Integration/E2E,NOT_STARTED,BASELINING,NOT_ASSESSED,Workspace Lead,PC-044;DATA-CORE;Drawing core;Indicator core;PC-158 baseline,§6.2; §18.1–18.3,I3,critical-P0,,,,,
PC-075,Workspace,P0,Layoutهای قدیمی migrate شوند,Fixture همه نسخه‌های شناخته‌شده restore شود,Migration suite,NOT_STARTED,BASELINING,NOT_ASSESSED,Workspace Lead,PC-044;DATA-CORE;Drawing core;Indicator core;PC-158 baseline,§6.2; §18.1–18.3,I3,critical-P0,,,,,
PC-076,Workspace,P1,Version history و restore باشد,نسخه‌ها قابل مشاهده و بازیابی بدون overwrite ناخواسته,E2E,NOT_STARTED,BASELINING,NOT_ASSESSED,Workspace/Backend Lead,PC-074–075;PC-129;PC-131;resilience policy,§18.1; §28.3,I3,P1,,,,,
